Point{id=id36574, cat=RESTAURANT, lat=-37.2373623277, lon=142.9891183265}
Point{id=id44234, cat=RESTAURANT, lat=-37.338367979, lon=142.9977189696}
Point{id=id96545, cat=RESTAURANT, lat=-37.2667838283, lon=142.8438356871}
Point{id=id8968, cat=RESTAURANT, lat=-37.176104636, lon=143.0699859442}
Point{id=id21043, cat=RESTAURANT, lat=-37.3460024217, lon=142.9696521777}
Point{id=id65413, cat=RESTAURANT, lat=-37.1637775277, lon=142.8800849152}
Point{id=id4759, cat=RESTAURANT, lat=-37.2303164455, lon=143.1020133637}
Point{id=id25450, cat=RESTAURANT, lat=-37.167061136, lon=143.067020534}
Point{id=id2245, cat=RESTAURANT, lat=-37.2742413168, lon=142.8365738311}
Point{id=id6249, cat=RESTAURANT, lat=-37.2190824568, lon=142.8331881484}
Point{id=id44126, cat=RESTAURANT, lat=-37.1815819868, lon=142.8507563986}
Point{id=id77069, cat=RESTAURANT, lat=-37.1622657877, lon=143.0677273468}
Point{id=id79283, cat=RESTAURANT, lat=-37.1360341605, lon=142.9168135875}
Point{id=id49246, cat=RESTAURANT, lat=-37.2092008762, lon=142.8295224662}
Point{id=id51057, cat=RESTAURANT, lat=-37.3049666216, lon=143.0902620966}
Point{id=id36911, cat=RESTAURANT, lat=-37.3039924882, lon=142.8442610052}
Point{id=id76152, cat=RESTAURANT, lat=-37.1247258408, lon=142.9453759079}
Point{id=id32308, cat=RESTAURANT, lat=-37.1432382224, lon=142.8860357173}
Point{id=id38333, cat=RESTAURANT, lat=-37.3441455689, lon=142.8877366762}
Point{id=id61250, cat=RESTAURANT, lat=-37.3589403873, lon=142.9264047829}
Point{id=id74360, cat=RESTAURANT, lat=-37.3277901916, lon=143.0783750683}
Point{id=id23796, cat=RESTAURANT, lat=-37.35340455, lon=143.033987358}
Point{id=id96416, cat=RESTAURANT, lat=-37.1711907206, lon=142.8389426184}
Point{id=id22619, cat=RESTAURANT, lat=-37.2294014863, lon=143.1276489926}
Point{id=id88631, cat=RESTAURANT, lat=-37.2803596029, lon=142.814058817}
Point{id=id78514, cat=RESTAURANT, lat=-37.1251694035, lon=143.0404287482}
Point{id=id55506, cat=RESTAURANT, lat=-37.1126670246, lon=142.9878247475}
Point{id=id23813, cat=RESTAURANT, lat=-37.2457259893, lon=143.1316676048}
Point{id=id14867, cat=RESTAURANT, lat=-37.3667560048, lon=142.9259432392}
Point{id=id5141, cat=RESTAURANT, lat=-37.3029304061, lon=142.8242541093}
